equipo;rank;vecino;distancia;peso
Tunisia;3;Colombia;1,8693;0,1333
Tunisia;4;Morocco;1,8786;0,132
Tunisia;5;Guatemala;1,938;0,1244
Tunisia;6;Haiti;2,0586;0,1103
Tunisia;7;Panama;2,0669;0,1094
Tunisia;8;Uzbekistan;2,1252;0,1032
Côte d'Ivoire;1;Nigeria;2,4521;0,1511
Côte d'Ivoire;2;Tunisia;2,4794;0,147
Côte d'Ivoire;3;Cabo Verde;2,4988;0,1442
Côte d'Ivoire;4;Burkina Faso;2,5474;0,1374
Côte d'Ivoire;5;Colombia;2,6686;0,1217
Côte d'Ivoire;6;Algeria;2,8099;0,1057
Côte d'Ivoire;7;Uruguay;2,8985;0,0967
Côte d'Ivoire;8;Haiti;2,9032;0,0962
Algeria;1;Senegal;0,977;0,2006
Algeria;2;Colombia;1,231;0,1556
Algeria;3;Austria;1,4254;0,1281
Algeria;4;Sweden;1,4941;0,1196
Algeria;5;Morocco;1,5349;0,1148
Algeria;6;Panama;1,6364;0,1037
Algeria;7;Finland;1,7897;0,089
Algeria;8;Tunisia;1,7932;0,0887
Senegal;1;Algeria;0,977;0,2341
Senegal;2;Sweden;1,6279;0,1221
Senegal;3;Japan;1,7003;0,1136
Senegal;4;Austria;1,7004;0,1135
Senegal;5;Colombia;1,7035;0,1132
Senegal;6;Morocco;1,7509;0,108
Senegal;7;Panama;1,8254;0,1002
Senegal;8;Uzbekistan;1,8744;0,0954
Morocco;1;Italy;1,4725;0,1638
Morocco;2;Algeria;1,5349;0,1539
Morocco;3;Senegal;1,7509;0,124
Morocco;4;Colombia;1,7515;0,1239
Morocco;5;Austria;1,8217;0,1155
Morocco;6;Wales;1,8616;0,111
Morocco;7;Tunisia;1,8786;0,1091
Morocco;8;Haiti;1,9787;0,0987
Jordan;1;Costa Rica;1,2076;0,2219
Jordan;2;Paraguay;1,7917;0,1237
Jordan;3;Bosnia & Herzegovina;1,7945;0,1234
Jordan;4;Iraq;1,8859;0,1126
Jordan;5;Hungary;1,8943;0,1116
Jordan;6;Peru;1,9638;0,1041
Jordan;7;Venezuela;1,9639;0,1041
Jordan;8;Guatemala;2,019;0,0986
Saudi Arabia;1;Trinidad and Tobago;1,2092;0,1972
Saudi Arabia;2;Greece;1,5965;0,1339
Saudi Arabia;3;Türkiye;1,6109;0,1319
Saudi Arabia;4;Luxembourg;1,6602;0,1256
Saudi Arabia;5;Georgia;1,7106;0,1194
Saudi Arabia;6;Albania;1,8141;0,1077
Saudi Arabia;7;Chile;1,9334;0,0956
Saudi Arabia;8;Mexico;2,0077;0,0887
Uzbekistan;1;Senegal;1,8744;0,1461
Uzbekistan;2;Australia;1,9869;0,1305
Uzbekistan;3;Iceland;2,0042;0,1283
Uzbekistan;4;Algeria;2,0323;0,1247
Uzbekistan;5;Panama;2,0364;0,1242
Uzbekistan;6;Guatemala;2,0626;0,121
Uzbekistan;7;Tunisia;2,1252;0,1137
Uzbekistan;8;United Arab Emirates;2,1437;0,1116
