"partido_id";"partido_completo";"equipo_nombre";"tipo_equipo";"ball_possession";"expected_goals";"big_chances";"total_shots";"goalkeeper_saves";"corner_kicks";"fouls";"passes";"tackles";"free_kicks";"yellow_cards";"shots_on_target";"hit_woodwork";"shots_off_target";"blocked_shots";"shots_inside_box";"shots_outside_box";"big_chances_scored";"big_chances_missed";"through_balls";"touches_in_penalty_area";"fouled_in_final_third";"offsides";"accurate_passes";"throw-ins";"final_third_entries";"final_third_phase";"long_balls";"crosses";"duels";"dispossessed";"ground_duels";"aerial_duels";"dribbles";"tackles_won";"total_tackles";"interceptions";"recoveries";"clearances";"errors_lead_to_a_goal";"total_saves";"big_saves";"high_claims";"punches";"goal_kicks";"red_cards";"errors_lead_to_a_shot";"penalty_saves";"goals_prevented";"goles"
12475983;"North Korea vs Iran";"North Korea";"home";51;NA;0;17;9;3;11;422;7;7;2;4;1;9;4;8;9;0;0;0;27;2;1;344;13;70;93;21;5;43;5;18;18;6;86;7;12;51;23;NA;9;2;0;NA;5;0;NA;1;NA;2
12475983;"North Korea vs Iran";"Iran";"away";49;NA;4;19;3;2;7;408;9;10;1;13;0;2;4;12;7;2;2;1;20;2;1;323;24;70;76;35;3;57;3;23;25;4;33;9;8;48;21;NA;3;0;1;NA;12;1;NA;0;NA;3
12475975;"Kyrgyzstan vs Iran";"Kyrgyzstan";"home";39;NA;1;8;2;3;8;358;16;12;2;3;0;3;2;4;4;1;NA;NA;15;5;2;276;19;56;69;35;3;52;6;35;9;6;75;16;13;44;15;NA;2;NA;NA;0;5;NA;NA;NA;NA;2
12475975;"Kyrgyzstan vs Iran";"Iran";"away";61;NA;1;14;1;3;13;570;13;8;1;5;0;6;3;8;6;1;NA;NA;12;0;1;490;19;48;77;50;4;48;6;26;15;5;62;13;11;51;13;NA;1;NA;NA;1;4;NA;NA;NA;NA;3
12475977;"Iran vs United Arab Emirates";"Iran";"home";56;NA;4;15;1;4;12;502;15;8;1;8;0;4;3;8;7;2;2;NA;24;2;6;424;27;71;80;31;5;44;7;26;7;5;87;15;9;47;15;NA;1;0;NA;NA;11;NA;1;NA;NA;2
12475977;"Iran vs United Arab Emirates";"United Arab Emirates";"away";44;NA;0;6;6;1;8;401;20;12;1;1;0;4;1;3;3;0;0;NA;10;1;1;310;24;55;59;25;1;56;8;34;8;2;60;20;9;47;18;NA;6;2;NA;NA;7;NA;1;NA;NA;0
12475974;"Iran vs Uzbekistan";"Iran";"home";61;NA;4;20;2;6;13;464;16;11;NA;8;0;6;6;14;6;1;3;2;27;0;1;370;26;59;63;18;6;54;5;30;23;6;69;16;8;46;26;NA;2;NA;0;NA;4;NA;NA;NA;NA;2
12475974;"Iran vs Uzbekistan";"Uzbekistan";"away";39;NA;2;13;4;5;11;295;12;13;NA;4;0;4;5;8;5;1;1;0;18;3;1;214;24;59;64;20;5;46;7;28;18;4;83;12;4;40;33;NA;4;NA;1;NA;15;NA;NA;NA;NA;2
12475967;"Qatar vs Iran";"Qatar";"home";52;NA;1;6;3;3;15;511;13;19;3;3;0;2;1;3;3;1;NA;1;14;1;4;452;8;49;96;36;4;46;11;33;11;2;54;13;4;45;18;0;3;0;2;2;5;0;NA;NA;NA;1
12475967;"Qatar vs Iran";"Iran";"away";48;NA;0;6;2;3;19;474;15;15;4;3;0;3;0;4;2;0;NA;0;15;5;0;410;11;44;51;19;3;54;3;34;17;4;73;15;6;42;16;1;2;1;0;0;5;1;NA;NA;NA;0
12475965;"Iran vs North Korea";"Iran";"home";69;NA;6;25;1;2;8;516;15;14;1;8;0;12;5;16;8;3;3;2;32;0;1;437;25;60;108;19;9;64;3;33;30;4;73;15;6;43;24;NA;1;0;0;0;7;0;NA;NA;NA;3
12475965;"Iran vs North Korea";"North Korea";"away";31;NA;0;8;6;6;14;233;8;8;1;1;0;4;3;1;7;0;0;1;8;2;0;144;21;47;31;20;0;36;6;20;16;4;38;8;11;42;39;NA;6;3;1;1;14;1;NA;NA;NA;0
14488283;"Iran vs Afghanistan";"Iran";"home";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;3
14488283;"Iran vs Afghanistan";"Afghanistan";"away";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1
14488285;"India vs Iran";"India";"home";26;NA;NA;NA;NA;2;7;NA;NA;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0
14488285;"India vs Iran";"Iran";"away";74;NA;NA;NA;NA;10;6;NA;NA;7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;3
14589504;"Tajikistan vs Iran";"Tajikistan";"home";40;NA;NA;NA;NA;4;9;NA;NA;13;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;2
14589504;"Tajikistan vs Iran";"Iran";"away";60;NA;NA;NA;NA;6;13;NA;NA;9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;2
14636439;"Uzbekistan vs Iran";"Uzbekistan";"home";NA;NA;NA;NA;NA;3;18;NA;NA;12;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1
14636439;"Uzbekistan vs Iran";"Iran";"away";NA;NA;NA;NA;NA;3;8;NA;NA;26;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0
12475963;"South Korea vs Palestine";"South Korea";"home";75;NA;4;16;3;4;12;698;9;7;1;5;1;8;3;12;4;NA;4;1;37;1;0;615;13;70;140;43;6;56;10;24;20;8;56;9;2;45;8;NA;3;0;0;NA;5;NA;NA;NA;NA;0
12475963;"South Korea vs Palestine";"Palestine";"away";25;NA;1;10;5;1;7;223;14;11;5;3;0;5;2;3;7;NA;1;0;10;0;3;150;15;32;25;18;2;44;4;28;7;4;79;14;8;37;25;NA;5;2;1;NA;11;NA;NA;NA;NA;0
12475962;"Oman vs South Korea";"Oman";"home";34;NA;0;6;5;3;16;291;21;11;5;0;0;4;2;3;3;NA;0;NA;10;2;1;224;23;43;56;19;3;48;5;37;7;5;48;21;5;32;30;NA;5;2;NA;1;7;NA;NA;NA;NA;1
12475962;"Oman vs South Korea";"South Korea";"away";66;NA;1;16;0;10;11;563;9;15;2;8;0;4;4;8;8;NA;1;NA;25;2;2;502;21;79;157;25;7;52;16;31;17;7;67;9;9;41;13;NA;0;1;NA;0;5;NA;NA;NA;NA;3
12475008;"Jordan vs South Korea";"Jordan";"home";25;NA;0;13;3;2;12;237;15;6;1;2;0;6;5;7;6;0;NA;0;15;2;1;169;34;47;43;21;3;40;8;24;11;3;40;15;9;47;10;1;3;NA;NA;NA;5;NA;NA;NA;NA;0
12475008;"Jordan vs South Korea";"South Korea";"away";75;NA;1;12;2;2;7;761;23;12;0;5;0;3;4;7;5;1;NA;1;16;5;2;680;25;62;102;30;2;60;9;42;10;7;78;23;3;35;23;0;2;NA;NA;NA;8;NA;NA;NA;NA;2
12475959;"South Korea vs Iraq";"South Korea";"home";76;NA;3;7;NA;1;7;712;12;8;3;3;0;2;2;5;2;3;NA;NA;21;2;3;629;18;59;109;38;4;49;9;25;22;6;83;12;6;42;13;0;NA;NA;NA;NA;6;NA;NA;NA;NA;3
12475959;"South Korea vs Iraq";"Iraq";"away";24;NA;2;8;NA;4;8;222;20;7;2;2;0;4;2;4;4;2;NA;NA;11;0;3;146;26;40;20;17;6;51;11;34;14;8;75;20;5;34;20;1;NA;NA;NA;NA;7;NA;NA;NA;NA;2
12475022;"Kuwait vs South Korea";"Kuwait";"home";25;NA;0;4;1;0;9;242;13;10;2;1;1;3;0;3;1;0;0;0;7;1;0;171;19;46;18;24;2;44;6;26;10;4;85;13;24;41;14;NA;1;NA;NA;NA;9;NA;NA;NA;NA;1
12475022;"Kuwait vs South Korea";"South Korea";"away";75;NA;4;14;0;4;10;705;10;8;1;4;1;10;0;10;4;2;2;1;23;3;4;633;17;76;144;38;3;56;2;28;18;9;70;10;8;49;7;NA;0;NA;NA;NA;6;NA;NA;NA;NA;3
12475018;"Palestine vs South Korea";"Palestine";"home";26;NA;1;6;5;2;16;227;14;6;4;2;0;3;1;6;0;1;NA;NA;13;1;2;140;21;49;24;15;3;41;1;21;9;1;43;14;7;27;34;0;5;NA;NA;NA;10;NA;NA;NA;NA;1
12475018;"Palestine vs South Korea";"South Korea";"away";74;NA;0;16;1;8;6;650;6;16;0;6;0;6;4;11;5;0;NA;NA;47;3;4;571;21;79;181;33;6;59;4;30;13;9;83;6;6;32;8;1;1;NA;NA;NA;4;NA;NA;NA;NA;1
12475958;"South Korea vs Oman";"South Korea";"home";63;NA;2;11;1;3;9;653;12;10;0;3;0;4;4;7;4;1;1;1;17;3;NA;587;21;113;146;45;4;54;8;29;12;8;92;12;4;44;10;NA;1;NA;1;NA;3;NA;NA;NA;NA;1
12475958;"South Korea vs Oman";"Oman";"away";37;NA;0;5;2;4;10;377;13;9;2;2;0;0;3;0;5;0;0;0;5;0;NA;286;18;42;34;27;1;46;3;25;10;4;77;13;8;53;25;NA;2;NA;4;NA;9;NA;NA;NA;NA;1
12475953;"South Korea vs Jordan";"South Korea";"home";75;NA;3;12;2;10;12;620;21;9;0;3;0;7;2;8;4;1;2;NA;28;4;2;534;18;87;137;33;10;59;7;33;20;3;81;21;11;50;10;NA;2;NA;NA;NA;3;NA;NA;NA;NA;1
12475953;"South Korea vs Jordan";"Jordan";"away";25;NA;1;11;3;3;9;208;13;12;2;2;0;5;4;6;5;0;1;NA;15;0;0;132;20;43;24;20;3;41;11;27;10;3;62;13;7;41;24;NA;3;NA;NA;NA;10;NA;NA;NA;NA;1
12475952;"Iraq vs South Korea";"Iraq";"home";24;NA;1;5;5;1;8;223;15;12;1;2;0;3;0;2;3;0;1;0;7;1;3;143;20;30;27;9;0;47;5;29;17;3;73;15;11;44;25;NA;5;0;1;NA;6;1;NA;NA;NA;0
12475952;"Iraq vs South Korea";"South Korea";"away";76;NA;4;13;2;10;12;698;12;8;4;7;2;4;2;8;5;1;3;2;31;1;2;612;21;75;162;27;4;53;6;25;27;6;50;12;9;40;9;NA;2;1;0;NA;4;0;NA;NA;NA;2
12475949;"South Korea vs Kuwait";"South Korea";"home";74;NA;3;25;0;14;12;683;18;5;1;7;3;10;8;18;7;NA;3;1;48;3;1;627;19;113;282;33;13;57;6;29;14;6;83;18;7;42;9;0;0;0;0;0;3;NA;NA;NA;NA;4
12475949;"South Korea vs Kuwait";"Kuwait";"away";26;NA;0;6;4;2;5;252;9;12;2;0;0;5;1;4;2;NA;0;0;5;3;4;198;12;22;20;13;1;43;11;22;11;2;89;9;10;35;36;1;4;1;2;2;16;NA;NA;NA;NA;0
13938607;"Hong Kong vs South Korea";"Hong Kong";"home";24;0,26;NA;2;4;1;8;159;2;1;1;0;0;1;1;1;1;NA;NA;0;NA;NA;0;107;19;NA;NA;10;1;29;3;25;11;8;NA;2;18;NA;29;NA;4;NA;NA;NA;17;0;NA;NA;NA;0
