partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento_o_jugador;linea_o_target;probabilidad;periodo
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;B;under;12.5;0,9655;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;13.5;0,9163;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;13.5;0,0837;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;14.5;0,8704;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;14.5;0,1296;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;15.5;0,811;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;15.5;0,189;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;16.5;0,739;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;16.5;0,261;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;17.5;0,6567;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;17.5;0,3433;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;18.5;0,5679;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;18.5;0,4321;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;19.5;0,4772;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;19.5;0,5228;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;20.5;0,3891;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;20.5;0,6109;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;21.5;0,3077;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;21.5;0,6923;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;22.5;0,2358;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;22.5;0,7642;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;23.5;0,1752;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;23.5;0,8248;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;24.5;0,1261;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;24.5;0,8739;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;25.5;0,088;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;25.5;0,912;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;26.5;0,0596;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;26.5;0,9404;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;over;27.5;0,0391;FT
ARG_ALG;2026-06-17;Argentina;Algeria;total_shots;TOTAL;under;27.5;0,9609;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;over;1.5;0,9271;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;under;1.5;0,0729;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;over;2.5;0,8183;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;under;2.5;0,1817;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;over;3.5;0,6701;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;under;3.5;0,3299;FT
ARG_ALG;2026-06-17;Argentina;Algeria;shots_on_target;A;over;4.5;0,5087;FT
