partido_id;a;b;prob
CPV_ESP;4;3;0,0011
CPV_URU;0;0;0,0803
CPV_URU;0;1;0,1218
CPV_URU;0;2;0,1185
CPV_URU;0;3;0,0717
CPV_URU;0;4;0,0326
CPV_URU;0;5;0,0118
CPV_URU;0;6;0,0036
CPV_URU;1;0;0,0503
CPV_URU;1;1;0,1155
CPV_URU;1;2;0,0972
CPV_URU;1;3;0,0588
CPV_URU;1;4;0,0267
CPV_URU;1;5;0,0097
CPV_URU;1;6;0,0029
CPV_URU;2;0;0,0241
CPV_URU;2;1;0,0439
CPV_URU;2;2;0,0398
CPV_URU;2;3;0,0241
CPV_URU;2;4;0,011
CPV_URU;2;5;0,004
CPV_URU;2;6;0,0012
CPV_URU;3;0;0,0066
CPV_URU;3;1;0,012
CPV_URU;3;2;0,0109
CPV_URU;3;3;0,0066
CPV_URU;3;4;0,003
CPV_URU;3;5;0,0011
CPV_URU;4;0;0,0014
CPV_URU;4;1;0,0025
CPV_URU;4;2;0,0022
CPV_URU;4;3;0,0014
CRO_ENG;0;0;0,0451
CRO_ENG;0;1;0,0564
CRO_ENG;0;2;0,056
CRO_ENG;0;3;0,0324
CRO_ENG;0;4;0,0141
CRO_ENG;0;5;0,0049
CRO_ENG;0;6;0,0014
CRO_ENG;1;0;0,0498
CRO_ENG;1;1;0,1086
CRO_ENG;1;2;0,0874
CRO_ENG;1;3;0,0506
CRO_ENG;1;4;0,022
CRO_ENG;1;5;0,0076
CRO_ENG;1;6;0,0022
CRO_ENG;2;0;0,0451
CRO_ENG;2;1;0,0784
CRO_ENG;2;2;0,0681
CRO_ENG;2;3;0,0395
CRO_ENG;2;4;0,0172
CRO_ENG;2;5;0,006
CRO_ENG;2;6;0,0017
CRO_ENG;3;0;0,0235
CRO_ENG;3;1;0,0408
CRO_ENG;3;2;0,0354
CRO_ENG;3;3;0,0205
CRO_ENG;3;4;0,0089
CRO_ENG;3;5;0,0031
CRO_ENG;4;0;0,0092
CRO_ENG;4;1;0,0159
CRO_ENG;4;2;0,0138
CRO_ENG;4;3;0,008
CRO_ENG;4;4;0,0035
CRO_ENG;4;5;0,0012
CRO_ENG;5;0;0,0029
CRO_ENG;5;1;0,005
CRO_ENG;5;2;0,0043
CRO_ENG;5;3;0,0025
CRO_ENG;5;4;0,0011
CRO_ENG;6;1;0,0013
CRO_ENG;6;2;0,0011
CUR_CIV;0;0;0,0551
CUR_CIV;0;1;0,0814
CUR_CIV;0;2;0,0859
CUR_CIV;0;3;0,0548
