"partido_id";"partido_completo";"jugador";"home_team";"away_team";"totalPass";"accuratePass";"totalLongBalls";"accurateLongBalls";"goalAssist";"accurateOwnHalfPasses";"totalOwnHalfPasses";"accurateOppositionHalfPasses";"totalOppositionHalfPasses";"totalClearance";"ballRecovery";"saves";"punches";"minutesPlayed";"touches";"rating";"possessionLostCtrl";"totalShots";"totalCross";"accurateCross";"aerialLost";"duelLost";"duelWon";"bigChanceCreated";"totalTackle";"wasFouled";"fouls";"keyPass";"dispossessed";"totalContest";"bigChanceMissed";"shotOffTarget";"onTargetScoringAttempt";"blockedScoringAttempt";"goals";"interceptionWon";"unsuccessfulTouch";"totalOffside";"aerialWon";"wonContest";"totalBallCarriesDistance";"ballCarriesCount";"totalProgression";"bestBallCarryProgression";"totalProgressiveBallCarriesDistance";"progressiveBallCarriesCount";"savedShotsFromInsideTheBox";"penaltyFaced";"challengeLost";"outfielderBlock";"wonTackle";"penaltyConceded";"shotValueNormalized";"passValueNormalized";"dribbleValueNormalized";"defensiveValueNormalized";"ownGoals";"keeperSaveValue";"goalkeeperValueNormalized";"penaltyShootoutGoal";"penaltyShootoutMiss";"goodHighClaim";"hitWoodwork";"penaltyMiss";"errorLeadToAGoal";"expectedGoals";"expectedGoalsOnTarget";"expectedAssists";"totalKeeperSweeper";"accurateKeeperSweeper";"penaltySave";"penaltyWon";"errorLeadToAShot";"goalsPrevented";"penaltyShootoutSave";"clearanceOffLine";"lastManTackle";"crossNotClaimed"
11774477;"Uruguay vs Bolivia";"Darwin Núñez";"Uruguay";"Bolivia";22;12;5;2;0;2;2;10;20;0;4;0;0;73;36;8,6;14;4;0;0;1;3;3;0;1;0;1;0;1;1;0;0;2;2;2;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
12186211;"Basque Country vs Uruguay";"Manuel Ugarte";"Basque Country";"Uruguay";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
12178558;"Uruguay vs Côte d'Ivoire";"Federico Valverde";"Uruguay";"Côte d'Ivoire";76;64;8;6;0;21;26;44;51;0;11;0;0;90;86;7,3;15;3;1;1;0;2;2;0;1;0;1;0;0;1;0;2;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
12178558;"Uruguay vs Côte d'Ivoire";"Manuel Ugarte";"Uruguay";"Côte d'Ivoire";70;60;4;3;0;21;23;39;47;2;10;0;0;90;87;7,1;12;0;0;0;0;5;10;0;3;5;3;0;0;1;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
12258874;"Mexico vs Uruguay";"Manuel Ugarte";"Mexico";"Uruguay";30;26;5;3;0;12;13;14;17;0;1;0;0;90;35;6,5;6;0;0;0;0;5;1;0;0;1;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
12258874;"Mexico vs Uruguay";"Darwin Núñez";"Mexico";"Uruguay";16;10;1;1;0;5;6;5;10;1;0;0;0;69;26;9,1;7;5;0;0;0;1;1;0;0;1;1;0;0;0;1;1;3;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
11886384;"Uruguay vs Panama";"Federico Valverde";"Uruguay";"Panama";48;41;9;6;0;15;17;27;34;0;3;0;0;85;60;7,6;10;4;3;1;0;0;3;1;0;1;0;2;0;0;0;3;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0896;0;0,21773;0;0;0;0;0;0;0;0;0;NA
11886384;"Uruguay vs Panama";"Manuel Ugarte";"Uruguay";"Panama";46;42;5;3;0;21;22;21;24;0;6;0;0;90;65;7;9;1;0;0;0;6;6;0;4;0;1;1;3;1;0;0;0;1;0;3;1;0;1;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1188;0;0,0282873;0;0;0;0;0;0;0;0;0;NA
11886384;"Uruguay vs Panama";"Darwin Núñez";"Uruguay";"Panama";17;13;3;2;0;3;3;10;14;1;1;0;0;90;33;7;8;5;0;0;0;4;6;0;0;1;1;1;1;5;2;1;3;1;1;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8732;0;0,21213;0;0;0;0;0;0;0;0;0;NA
11886384;"Uruguay vs Panama";"Emiliano Martínez";"Uruguay";"Panama";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
11886378;"Uruguay vs Bolivia";"Manuel Ugarte";"Uruguay";"Bolivia";47;43;3;2;0;25;26;18;22;2;6;0;0;90;76;7,2;12;1;1;0;0;7;10;0;10;0;0;0;1;3;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1146;0;0,0284347;0;0;0;0;0;0;0;0;0;NA
11886378;"Uruguay vs Bolivia";"Federico Valverde";"Uruguay";"Bolivia";53;50;11;11;0;15;15;36;39;1;1;0;0;86;71;8,8;7;3;1;1;0;3;5;1;1;2;2;2;1;3;0;0;2;1;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3288;0,3185;0,314696;0;0;0;0;0;0;0;0;0;NA
11886378;"Uruguay vs Bolivia";"Darwin Núñez";"Uruguay";"Bolivia";10;6;1;1;0;3;3;3;8;1;5;0;0;83;36;7,7;8;7;1;0;2;7;12;0;3;1;2;0;0;8;3;3;2;2;1;0;1;1;2;6;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,7628;1,2455;0,00752071;0;0;0;0;0;0;0;0;0;NA
11886378;"Uruguay vs Bolivia";"Emiliano Martínez";"Uruguay";"Bolivia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
11886376;"USA vs Uruguay";"Manuel Ugarte";"USA";"Uruguay";34;27;5;3;0;16;20;11;14;3;6;0;0;89;51;7,8;8;0;0;0;2;2;9;0;4;2;1;0;0;1;0;0;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0106633;0;0;0;0;0;0;0;1;0;NA
11886376;"USA vs Uruguay";"Federico Valverde";"USA";"Uruguay";53;43;11;5;0;22;27;21;27;2;5;0;0;90;68;7;14;2;1;0;0;4;2;0;1;1;0;0;2;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0235;0;0,235668;0;0;0;0;0;0;0;0;0;NA
11886376;"USA vs Uruguay";"Darwin Núñez";"USA";"Uruguay";11;6;0;0;0;3;7;3;4;0;3;0;0;89;22;6,7;10;1;0;0;4;9;3;1;0;1;2;1;3;1;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1001;0;0,00662519;0;0;0;0;0;0;0;0;0;NA
11886376;"USA vs Uruguay";"Emiliano Martínez";"USA";"Uruguay";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
11886596;"Uruguay vs Brazil";"Manuel Ugarte";"Uruguay";"Brazil";31;28;2;1;0;16;16;12;15;2;5;0;0;90;51;7,1;8;1;0;0;2;8;6;0;3;1;5;2;3;1;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,0114;0;0,00917046;0;0;0;0;0;0;0;0;0;NA
