partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento;linea;periodo;cuota_media;cuota_max;prob_implicita;n_casas
QAT_CAN;2026-06-19;Qatar;Canada;goles;TOTAL;under;2.0;FT;3,4;3,4;0,2827;1
MEX_KOR;2026-06-19;Mexico;South Korea;1X2;-;gana_A;-;FT;1,97;2,03;0,4839;22
MEX_KOR;2026-06-19;Mexico;South Korea;1X2;-;empate;-;FT;3,325;3,5;0,2867;22
MEX_KOR;2026-06-19;Mexico;South Korea;1X2;-;gana_B;-;FT;4,155;4,4;0,2294;22
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;over;2.5;FT;2,29;2,4;0,4067;7
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;under;2.5;FT;1,57;1,62;0,5933;7
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;over;2.0;FT;1,795;1,86;0,5307;4
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;under;2.0;FT;2,03;2,1;0,4693;4
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;over;1.5;FT;1,48;1,48;0,6459;1
MEX_KOR;2026-06-19;Mexico;South Korea;goles;TOTAL;under;1.5;FT;2,7;2,7;0,3541;1
AUS_USA;2026-06-19;Australia;USA;1X2;-;gana_A;-;FT;5,95;6,75;0,1597;22
AUS_USA;2026-06-19;Australia;USA;1X2;-;empate;-;FT;4,25;4,75;0,2235;22
AUS_USA;2026-06-19;Australia;USA;1X2;-;gana_B;-;FT;1,54;1,6;0,6168;22
AUS_USA;2026-06-19;Australia;USA;goles;TOTAL;over;2.5;FT;1,91;1,99;0,496;13
AUS_USA;2026-06-19;Australia;USA;goles;TOTAL;under;2.5;FT;1,88;2,0;0,504;13
MAR_SCO;2026-06-20;Morocco;Scotland;1X2;-;gana_A;-;FT;1,935;2,0;0,4915;22
MAR_SCO;2026-06-20;Morocco;Scotland;1X2;-;empate;-;FT;3,325;3,6;0,286;22
MAR_SCO;2026-06-20;Morocco;Scotland;1X2;-;gana_B;-;FT;4,275;4,6;0,2225;22
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;over;2.5;FT;2,26;2,3;0,416;8
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;under;2.5;FT;1,61;1,75;0,584;8
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;over;2.0;FT;1,68;1,74;0,5556;3
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;under;2.0;FT;2,1;2,3;0,4444;3
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;over;2.25;FT;1,99;2,0;0,4777;2
MAR_SCO;2026-06-20;Morocco;Scotland;goles;TOTAL;under;2.25;FT;1,82;1,83;0,5223;2
HAI_BRA;2026-06-20;Haiti;Brazil;1X2;-;gana_A;-;FT;30,3;35,0;0,0314;20
HAI_BRA;2026-06-20;Haiti;Brazil;1X2;-;empate;-;FT;12,1;16,5;0,0787;20
HAI_BRA;2026-06-20;Haiti;Brazil;1X2;-;gana_B;-;FT;1,07;1,09;0,8899;20
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;over;3.5;FT;1,74;1,79;0,5409;9
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;under;3.5;FT;2,05;2,12;0,4591;9
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;over;3.75;FT;1,94;1,95;0,4881;2
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;under;3.75;FT;1,85;1,87;0,5119;2
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;over;4.0;FT;2,28;2,28;0,4257;1
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;under;4.0;FT;1,69;1,69;0,5743;1
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;over;2.5;FT;1,25;1,25;0,7368;1
HAI_BRA;2026-06-20;Haiti;Brazil;goles;TOTAL;under;2.5;FT;3,5;3,5;0,2632;1
PAR_TUR;2026-06-20;Paraguay;Türkiye;1X2;-;gana_A;-;FT;4,0;4,3;0,2377;22
PAR_TUR;2026-06-20;Paraguay;Türkiye;1X2;-;empate;-;FT;3,3;3,45;0,2881;22
PAR_TUR;2026-06-20;Paraguay;Türkiye;1X2;-;gana_B;-;FT;2,005;2,1;0,4742;22
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;over;2.5;FT;2,235;2,35;0,4232;10
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;under;2.5;FT;1,64;1,73;0,5768;10
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;over;2.25;FT;1,985;2,0;0,479;2
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;under;2.25;FT;1,825;1,83;0,521;2
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;over;2.0;FT;1,67;1,67;0,5559;1
PAR_TUR;2026-06-20;Paraguay;Türkiye;goles;TOTAL;under;2.0;FT;2,09;2,09;0,4441;1
NED_SWE;2026-06-20;Netherlands;Sweden;1X2;-;gana_A;-;FT;1,62;1,7;0,5863;21
NED_SWE;2026-06-20;Netherlands;Sweden;1X2;-;empate;-;FT;4,05;4,2;0,2345;21
