jugador;partidos_amonestado
Yu-min Cho;1
Yuanyi Li;1
Yuito Suzuki;1
Yukhym Konoplya;2
Yuki Soma;1
Yukinari Sugawara;2
Yunus Akgün;1
Yussuf Poulsen;1
Yustin Arboleda;3
Yusuf Akçiçek;1
Yusuf Yazıcı;1
Yusuph Kagoma;2
Yves Allarabaye;1
Yves Bissouma;2
Yéremy Pino;1
Zach Muscat;1
Zahi Addis;1
Zaid Ismail;2
Zaid Qunbar;2
Zaid Tahseen;1
Zainou Dine Mohamed;1
Zakaria Draoui;2
Zakhele Lepasa;1
Zeiko Lewis;1
Zeki Çelik;3
Zelimkhan Bakaev;1
Zhang Yuning;3
Zhengyu Huang;1
Zidane Iqbal;1
Zineddine Belaid;1
Zito Luvumbo;1
Ziyad Aljohani;2
Zoir Dzhuraboev;1
Zsolt Nagy;3
Zuriko Davitashvili;1
Zymer Bytyqi;1
Ágúst Orri Thorsteinsson;1
Álvaro Morata;2
Álvaro Zamora;1
Ángelo Preciado;2
Çağlar Söyüncü;1
Éric Davis;1
Éric Izquierdo;1
Éric Vales;1
Ísak Bergmann Jóhannesson;2
Óscar Acevedo;2
Óscar Santis;3
İrfan Can Kahveci;4
İsmail Yüksek;7
Ľubomír Šatka;1
Łukasz Skorupski;1
Žan Celar;1
Žan Karničnik;3
