jugador;partidos_amonestado
Georges Mikautadze;1
Gerald Díaz;1
German Barkovskiy;1
Germán Pezzella;1
Gervane Kastaneer;2
Gerzino Nyamsi;1
Getsel Montes;1
Ghanam Mohamed;2
Ghanem Al Minhali;1
Giacomo Matteoni;1
Giacomo Valentini;1
Gianluca Lapadula;1
Gianluca Mancini;2
Gianluigi Donnarumma;2
Giannis Konstantelias;1
Giannis Kosti;1
Gilbert Baruti;1
Gilbert Byiringiro;1
Giorgi Kochorashvili;2
Giorgi Kvilitaia;1
Giorgi Tsitaishvili;1
Giorgian de Arrascaeta;1
Giovani Lo Celso;3
Giovanni Reyna;2
Godfried Roemeratoe;1
Godiraone Modingwane;1
Godknows Murwira;1
Goitseone Phoko;1
Gonzalo Montiel;1
Gonzalo Plata;2
Gonzalo Tapia;2
Gonçalo Inácio;1
Graeme Torrilla;1
Granit Xhaka;7
Grant Hanley;1
Gregory Wüthrich;1
Grigoris Kastanos;1
Guessouma Fofana;1
Guido Burgstaller;1
Guillaume Lopez;1
Guillermo Maripán;3
Guillermo Ochoa;1
Guillermo Varela;2
Gulzhigit Alykulov;1
Gunnar Vatnhamar;1
Gurpreet Singh Sandhu;1
Gustaf Lagerbielke;1
Gustav Isaksen;1
Gustavo Gómez;2
Gustavo Puerta;2
Gustavo Sangaré;1
Gustavo Velázquez;3
Guélor Kanga;1
Gvidas Gineitis;2
Gytis Paulauskas;1
Géza Dávid Turi;1
Habib Diarra;3
Habibou Diallo;1
Haimie Nyaring;1
Haji Mnoga;1
Hakan Çalhanoğlu;5
Hakeme Yazid;1
Hamad Abdullah Almeqbaali;1
Hamari Traoré;1
Hamdy Fathy;5
Hamed Hemdan;3
Hanif Hamir;1
Hannibal Mejbri;2
Hans Vanaken;1
Hao Fang;1
Haoyang Xu;1
Harhys Stewart;1
Harib Al-Saadi;2
Harib Suhail;1
Haris Hajradinović;1
Haroun Tchaouna;1
Harry Kane;2
Harry Souttar;1
Harry Wilson;5
Harwan Al Zubaidi;1
Hasan Srour;1
Hassan Altambakti;1
Hassan Hamdan Al-Enezi;1
Hassan Houbeib;1
Haxzel Quirós;1
Heinz Mörschel;1
Heltone Kayembe;1
Henri Anier;1
Henry Romero;1
Herbert Achai;1
Herberth Díaz;1
Herman Johansson;1
Hernesto Caballero;1
Hicham Boudaoui;1
Hilary Mukundane;2
Hin-Ting Lam;1
Hiroki Itō;1
Homam Al-Amin;1
Hossam Abdelmaguid;2
Hossein Kanaani;3
Houssem Aouar;1
Huang Chiu Lin;1
Hugo Gambor;1
Husam Ali Mohammad Abudahab;2
Husniddin Aliqulov;1
Hussein El Zein;3
Hwang In-beom;1
Hyeon-gyu Oh;1
Hákon Rafn Valdimarsson;1
Héctor Cuellar;2
Hélio Varela;1
Ian Fray;2
Ian Garguez;1
Ianis Hagi;2
Iban Salvador;2
Ibrahim Adel;2
